id,kind,rowId,score,tags
1,sentence,1,0;0;0;0;0,0;1
2,sentence,2,0;0;0;0;0,
3,sentence,3,0;0;0;0;0,
4,sentence,4,0;0;0;0;0,
5,sentence,5,0;0;0;0;0,
6,sentence,6,0;0;0;0;0,
7,sentence,7,0;0;0;0;0,
8,sentence,8,0;0;0;0;0,
9,sentence,9,0;0;0;0;0,
10,sentence,10,0;0;0;0;0,
11,sentence,11,0;0;0;0;0,
12,sentence,12,0;0;0;0;0,
13,sentence,13,0;0;0;0;0,
14,sentence,14,0;0;0;0;0,
15,sentence,15,0;0;0;0;0,
16,sentence,16,0;0;0;0;0,
17,sentence,17,0;0;0;0;0,
18,sentence,18,0;0;0;0;0,
19,sentence,19,0;0;0;0;0,
20,sentence,20,0;0;0;0;0,
21,sentence,21,0;0;0;0;0,
22,noun,1,0;0;0;0;0,1
23,noun,2,0;0;0;0;0,2
24,noun,3,0;0;0;0;0,2
25,noun,4,0;0;0;0;0,3
26,noun,5,0;0;0;0;0,2
27,noun,6,0;0;0;0;0,1
28,noun,7,0;0;0;0;0,1
29,noun,8,0;0;0;0;0,3
30,noun,9,0;0;0;0;0,2
31,noun,10,0;0;0;0;0,2
32,noun,11,0;0;0;0;0,3
33,noun,12,0;0;0;0;0,3
34,noun,13,0;0;0;0;0,3
35,noun,14,0;0;0;0;0,1
36,noun,15,0;0;0;0;0,1
37,noun,16,0;0;0;0;0,2
38,noun,17,0;0;0;0;0,2
39,noun,18,0;0;0;0;0,3
40,noun,19,0;0;0;0;0,1
41,noun,20,0;0;0;0;0,2
42,noun,21,0;0;0;0;0,3
43,noun,22,0;0;0;0;0,2
44,noun,23,0;0;0;0;0,3
45,noun,24,0;0;0;0;0,3
46,noun,25,0;0;0;0;0,1
47,noun,26,0;0;0;0;0,3
48,noun,27,0;0;0;0;0,4
49,verb,1,0;0;0;0;0,4
50,verb,2,0;0;0;0;0,1
51,verb,3,0;0;0;0;0,3
52,verb,4,0;0;0;0;0,1
53,verb,5,0;0;0;0;0,2
54,verb,6,0;0;0;0;0,5
55,verb,7,0;0;0;0;0,6
56,verb,8,0;0;0;0;0,1
57,verb,9,0;0;0;0;0,3
58,verb,10,0;0;0;0;0,3
59,verb,11,0;0;0;0;0,3
60,verb,12,0;0;0;0;0,5
61,verb,13,0;0;0;0;0,4
62,verb,14,0;0;0;0;0,1
63,verb,15,0;0;0;0;0,1
64,verb,16,0;0;0;0;0,3
65,verb,17,0;0;0;0;0,1
66,verb,18,0;0;0;0;0,3
67,verb,19,0;0;0;0;0,2
68,verb,20,0;0;0;0;0,3
